C#  CLA OLA Quiz Exam FinalExam
c1234501 10 20 10 30 30
c1234502   9 10   5 20 20
c1234503 10 17   8 27 27
c1234504   8 14 10 29 15
c1234505   7 18   3 24 27
c1234506   8 16   9 13 14
c1234507   6 11   5 27 26
c1234508   8 15   9 17 28
c1234509   5 19   8 28 29
c1234510   9 14   6 19 19
c1234511   2   6   4 17 19
c1234512   7 18   7 22 25
c1234513   4 10   9 11 19
c1234514   8 18   8 24 19
c1234515   7 13   7 20 20
c1234516 10 19   9 19 19
c1234517   8 10   9 19 24
c1234518   6 11   7 23 25
c1234519   4   8   4 19 20
c1234520   9 15   9 22 24
c1234521 10 13 10 20 30
c1234522 10 12 10 25 25
